Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
gi|2050584475|gb|QWM93016.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]	0.406	236	0.014	62	0	1
gi|98990547|gb|ABF60341.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.406	236	0.014	62	0	1
gi|457864467|emb|CCP37706.1|,gi|457864473|emb|CCP37709.1|,gi|457864463|emb|CCP37704.1|,gi|457864477|emb|CCP37711.1|,gi|457864471|emb|CCP37708.1|,gi|457864465|emb|CCP37705.1|,gi|457864469|emb|CCP37707.1|,gi|457864459|emb|CCP37702.1|,gi|457864461|emb|CCP37703.1|,gi|457864475|emb|CCP37710.1|	RuBisCO, partial [Thalassiosira pseudonana]	0.395	223	0.014	58	7	2
gi|98990583|gb|ABF60359.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.391	223	0.014	58	7	2
gi|329343092|gb|AEB91175.1|,gi|125987521|sp|A0T0N6.1|RBL_THAPS,gi|224015740|ref|XP_002297518.1|,gi|220967782|gb|EED86158.1|,gi|98990549|gb|ABF60342.1|,gi|2451390273|gb|WEA82721.1|,gi|118411104|ref|YP_874498.1|,gi|116739851|gb|ABK20721.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit,ribulose-bisphosphate carboxylase, large subunit or chain, chloroplast, RuBisCo [Thalassiosira pseudonana CCMP1335],ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.386	223	0.013	58	7	2
gi|125987721|sp|A0T0R6.1|ATPB_THAPS,gi|224015776|ref|XP_002297536.1|,gi|118411134|ref|YP_874528.1|,gi|2050584445|gb|QWM92986.1|,gi|116739881|gb|ABK20751.1|,gi|220967800|gb|EED86176.1|	RecName: Full=ATP synthase subunit beta, chloroplastic; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,predicted protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 beta subunit (chloroplast) [Thalassiosira pseudonana],CF1 beta subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 beta chain (chloroplast) [Thalassiosira pseudonana]	0.511	153	0.009	48	2	3
gi|817091128|gb|AKF18168.1|	ATP synthase beta subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.506	151	0.010	46	0	4
gi|224012869|ref|XP_002295087.1|,gi|220969526|gb|EED87867.1|	fucoxanthin chlorophyll a/c protein 1, partial [Thalassiosira pseudonana CCMP1335]	0.432	133	0.021	16	0	5
gi|224012180|ref|XP_002294743.1|,gi|220969763|gb|EED88103.1|	fucoxanthin chlorophyll a/c protein 2, partial [Thalassiosira pseudonana CCMP1335]	0.414	133	0.020	16	0	5
gi|1778745|gb|AAB40914.1|	fucoxanthin-chlorophyll a/c light-harvesting protein, partial [Thalassiosira pseudonana]	0.452	132	0.031	15	0	6
