Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
gi|2050584475|gb|QWM93016.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]	0.406	218	0.011	62	0	1
gi|98990547|gb|ABF60341.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.406	218	0.011	62	0	1
gi|457864467|emb|CCP37706.1|,gi|457864473|emb|CCP37709.1|,gi|457864463|emb|CCP37704.1|,gi|457864477|emb|CCP37711.1|,gi|457864471|emb|CCP37708.1|,gi|457864465|emb|CCP37705.1|,gi|457864469|emb|CCP37707.1|,gi|457864459|emb|CCP37702.1|,gi|457864461|emb|CCP37703.1|,gi|457864475|emb|CCP37710.1|	RuBisCO, partial [Thalassiosira pseudonana]	0.415	197	0.010	53	3	2
gi|98990583|gb|ABF60359.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.412	197	0.010	53	3	2
gi|329343092|gb|AEB91175.1|,gi|125987521|sp|A0T0N6.1|RBL_THAPS,gi|224015740|ref|XP_002297518.1|,gi|220967782|gb|EED86158.1|,gi|98990549|gb|ABF60342.1|,gi|2451390273|gb|WEA82721.1|,gi|118411104|ref|YP_874498.1|,gi|116739851|gb|ABK20721.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit,ribulose-bisphosphate carboxylase, large subunit or chain, chloroplast, RuBisCo [Thalassiosira pseudonana CCMP1335],ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.406	197	0.010	53	3	2
gi|125987721|sp|A0T0R6.1|ATPB_THAPS,gi|224015776|ref|XP_002297536.1|,gi|118411134|ref|YP_874528.1|,gi|2050584445|gb|QWM92986.1|,gi|116739881|gb|ABK20751.1|,gi|220967800|gb|EED86176.1|	RecName: Full=ATP synthase subunit beta, chloroplastic; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,predicted protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 beta subunit (chloroplast) [Thalassiosira pseudonana],CF1 beta subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 beta chain (chloroplast) [Thalassiosira pseudonana]	0.755	173	0.009	65	8	3
gi|817091128|gb|AKF18168.1|	ATP synthase beta subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.706	164	0.010	57	0	4
gi|224000930|ref|XP_002290137.1|,gi|220973559|gb|EED91889.1|	fucoxanthin chlorophyll a/c protein 8 [Thalassiosira pseudonana CCMP1335]	0.335	139	0.014	19	5	5
gi|220977751|gb|EED96077.1|,gi|223993505|ref|XP_002286436.1|	fucoxanthin chlorophyll a/c protein 8 [Thalassiosira pseudonana CCMP1335]	0.410	139	0.017	19	5	5
gi|224015794|ref|XP_002297545.1|,gi|2599405793|pdb|8IWH|B,gi|220967809|gb|EED86185.1|,gi|116739860|gb|ABK20730.1|,gi|118411113|ref|YP_874507.1|,gi|2050584466|gb|QWM93007.1|,gi|2599405838|pdb|8IWH|b	predicted protein [Thalassiosira pseudonana CCMP1335],Chain B, Photosystem II CP47 reaction center protein,photosystem II chlorophyll A core antenna apoprotein (chloroplast) [Thalassiosira pseudonana],photosystem II 47 kDa protein (chloroplast) [Thalassiosira pseudonana],CP47 chlorophyll apoprotein of photosystem II (chloroplast) [Thalassiosira pseudonana],Chain b, Photosystem II CP47 reaction center protein	0.244	137	0.007	41	41	6
gi|2742384286|pdb|8JP3|A,gi|2742384287|pdb|8JP3|B,gi|2742384288|pdb|8JP3|C	Chain A, Fucoxanthin chlorophyll a/c protein 8,Chain B, Fucoxanthin chlorophyll a/c protein 8,Chain C, Fucoxanthin chlorophyll a/c protein 8	0.306	134	0.019	14	0	7
gi|1778747|gb|AAB40915.1|	fucoxanthin-chlorophyll a/c light-harvesting protein, partial [Thalassiosira pseudonana]	0.423	134	0.026	14	0	7
gi|224007705|ref|XP_002292812.1|,gi|220971674|gb|EED90008.1|	translation elongation factor alpha [Thalassiosira pseudonana CCMP1335]	0.475	127	0.007	50	50	8
gi|2814830991|pdb|8WQP|A,gi|2814830992|pdb|8WQP|B	Chain A, Diatom the pyrenoid shell protein,Chain B, Diatom the pyrenoid shell protein	0.738	125	0.014	75	61	9
gi|224005154|ref|XP_002296228.1|,gi|209586260|gb|ACI64945.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.633	117	0.007	43	38	10
gi|2599405819|pdb|8IWH|o,gi|2599405818|pdb|8IWH|O,gi|224003107|ref|XP_002291225.1|,gi|220973001|gb|EED91332.1|	Chain o, Oxygen-evolving enhancer protein 1,Chain O, Oxygen-evolving enhancer protein 1,oxygen-evolving enhancer protein 1 precursor [Thalassiosira pseudonana CCMP1335]	0.597	110	0.009	37	37	11
gi|2414125445|gb|WAS08306.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]	0.425	105	0.010	37	0	12
gi|223995033|ref|XP_002287200.1|,gi|220976316|gb|EED94643.1|	transketolase [Thalassiosira pseudonana CCMP1335]	0.424	96	0.004	37	37	13
gi|224013339|ref|XP_002295321.1|,gi|220969044|gb|EED87387.1|	ferredoxin-nadp reductase [Thalassiosira pseudonana CCMP1335]	0.434	89	0.007	33	21	14
gi|2050584476|gb|QWM93017.1|	small subunit Rubisco (chloroplast) [Thalassiosira pseudonana]	0.736	86	0.016	67	7	15
gi|220972037|gb|EED90370.1|,gi|224006870|ref|XP_002292395.1|	hypothetical protein THAPSDRAFT_7881 [Thalassiosira pseudonana CCMP1335]	0.650	86	0.007	23	2	16
gi|223993043|ref|XP_002286205.1|,gi|220977520|gb|EED95846.1|	glyceraldehyde-3-phosphate dehydrogenase precursor, partial [Thalassiosira pseudonana CCMP1335]	0.507	86	0.006	33	33	17
gi|116739850|gb|ABK20720.1|,gi|118411103|ref|YP_874497.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit (chloroplast) [Thalassiosira pseudonana]	0.734	85	0.015	64	4	18
gi|224003673|ref|XP_002291508.1|,gi|220973284|gb|EED91615.1|	heat shock protein 70 [Thalassiosira pseudonana CCMP1335]	0.435	85	0.003	33	32	19
gi|224012869|ref|XP_002295087.1|,gi|220969526|gb|EED87867.1|	fucoxanthin chlorophyll a/c protein 1, partial [Thalassiosira pseudonana CCMP1335]	0.284	85	0.011	19	17	20
gi|1778745|gb|AAB40914.1|	fucoxanthin-chlorophyll a/c light-harvesting protein, partial [Thalassiosira pseudonana]	0.429	85	0.017	19	17	20
gi|224012180|ref|XP_002294743.1|,gi|220969763|gb|EED88103.1|	fucoxanthin chlorophyll a/c protein 2, partial [Thalassiosira pseudonana CCMP1335]	0.273	85	0.011	19	17	20
gi|224015796|ref|XP_002297546.1|,gi|220967810|gb|EED86186.1|,gi|116739859|gb|ABK20729.1|,gi|2050584467|gb|QWM93008.1|,gi|118411112|ref|YP_874506.1|,gi|125987716|sp|A0T0P4.1|ATPA_THAPS	ATP synthase alpha chain, thylakoid ATPase, plastid protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 alpha chain (chloroplast) [Thalassiosira pseudonana],CF1 alpha subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 alpha subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=ATP synthase subunit alpha, chloroplastic; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha	0.310	82	0.004	23	21	21
gi|224006446|ref|XP_002292183.1|,gi|220971825|gb|EED90158.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.648	81	0.007	22	3	22
gi|220972727|gb|EED91058.1|,gi|220973118|gb|EED91449.1|,gi|224002559|ref|XP_002290951.1|,gi|224003341|ref|XP_002291342.1|	hypothetical protein THAPSDRAFT_28496 [Thalassiosira pseudonana CCMP1335],predicted protein [Thalassiosira pseudonana CCMP1335]	0.457	76	0.004	47	47	23
gi|224004780|ref|XP_002296041.1|,gi|209586073|gb|ACI64758.1|	F-type H-ATPase beta subunit [Thalassiosira pseudonana CCMP1335]	0.566	74	0.004	35	31	24
gi|209586115|gb|ACI64800.1|,gi|224004864|ref|XP_002296083.1|	acetyl-coa carboxylase [Thalassiosira pseudonana CCMP1335]	0.261	66	7.99e-4	31	31	25
gi|125991846|sp|A0T100.1|EFTU_THAPS,gi|116739965|gb|ABK20835.1|,gi|118411218|ref|YP_874612.1|,gi|2050584502|gb|QWM93043.1|	RecName: Full=Elongation factor Tu, chloroplastic; Short=EF-Tu,translation elongation factor Tu (chloroplast) [Thalassiosira pseudonana],elongation factor Tu (chloroplast) [Thalassiosira pseudonana],translational elongation factor Tu (chloroplast) [Thalassiosira pseudonana]	0.621	64	0.004	31	31	26
gi|1693116229|gb|QDF45210.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.356	63	0.009	13	0	27
