Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
AAZ28476.1,sp|Q47UU9.1|EFTU_COLP3,AAZ27365.1,WP_011045489.1	translation elongation factor Tu [Colwellia psychrerythraea 34H],RecName: Full=Elongation factor Tu; Short=EF-Tu,MULTISPECIES: elongation factor Tu [Colwellia]	0.970	976	0.011	65	63	1
WP_011045494.1,sp|Q47UV9.1|RPOB_COLP3,AAZ24907.1	DNA-directed RNA polymerase subunit beta [Colwellia psychrerythraea],RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta,DNA-directed RNA polymerase, beta subunit [Colwellia psychrerythraea 34H]	0.820	874	0.003	175	172	2
sp|Q47UW0.1|RPOC_COLP3,WP_011045493.1,AAZ25655.1	RecName: Full=DNA-directed RNA polymerase subunit beta'; Short=RNAP subunit beta'; AltName: Full=RNA polymerase subunit beta'; AltName: Full=Transcriptase subunit beta',DNA-directed RNA polymerase subunit beta' [Colwellia psychrerythraea],DNA-directed RNA polymerase, beta' subunit [Colwellia psychrerythraea 34H]	0.751	737	0.002	145	142	3
gi|39794653|gb|AAH63697.1|	(CONTAMINANT) Keratin 1 [Homo sapiens]	0.702	701	0.005	81	2	4
gi|1346343|sp|P04264|K2C1_HUMAN	(CONTAMINANT) Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein)	0.688	677	0.005	79	0	5
AAZ24405.1,WP_011043149.1	ribosomal protein S1 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S1 [Colwellia]	0.857	645	0.005	76	76	6
WP_011044570.1,sp|Q47XI6.1|DNAK2_COLP3,AAZ27124.1	MULTISPECIES: molecular chaperone DnaK [Colwellia],RecName: Full=Chaperone protein DnaK 2; AltName: Full=HSP70 2; AltName: Full=Heat shock 70 kDa protein 2; AltName: Full=Heat shock protein 70 2,chaperone protein DnaK [Colwellia psychrerythraea 34H]	0.737	578	0.004	76	74	7
WP_041737171.1	MULTISPECIES: TAT-dependent nitrous-oxide reductase [Colwellia]	0.706	567	0.004	92	92	8
AAZ27785.1	nitrous-oxide reductase [Colwellia psychrerythraea 34H]	0.724	567	0.004	92	92	8
gi|21961605|gb|AAH34697.1|	(CONTAMINANT) Keratin 10 [Homo sapiens]	0.711	563	0.004	62	54	9
