Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
AAZ28476.1,sp|Q47UU9.1|EFTU_COLP3,AAZ27365.1,WP_011045489.1	translation elongation factor Tu [Colwellia psychrerythraea 34H],RecName: Full=Elongation factor Tu; Short=EF-Tu,MULTISPECIES: elongation factor Tu [Colwellia]	0.962	1,069	0.012	59	57	1
WP_011045494.1,sp|Q47UV9.1|RPOB_COLP3,AAZ24907.1	DNA-directed RNA polymerase subunit beta [Colwellia psychrerythraea],RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta,DNA-directed RNA polymerase, beta subunit [Colwellia psychrerythraea 34H]	0.876	935	0.003	173	169	2
sp|Q47UW0.1|RPOC_COLP3,WP_011045493.1,AAZ25655.1	RecName: Full=DNA-directed RNA polymerase subunit beta'; Short=RNAP subunit beta'; AltName: Full=RNA polymerase subunit beta'; AltName: Full=Transcriptase subunit beta',DNA-directed RNA polymerase subunit beta' [Colwellia psychrerythraea],DNA-directed RNA polymerase, beta' subunit [Colwellia psychrerythraea 34H]	0.758	721	0.002	155	153	3
AAZ24405.1,WP_011043149.1	ribosomal protein S1 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S1 [Colwellia]	0.861	642	0.005	80	80	4
WP_011044570.1,sp|Q47XI6.1|DNAK2_COLP3,AAZ27124.1	MULTISPECIES: molecular chaperone DnaK [Colwellia],RecName: Full=Chaperone protein DnaK 2; AltName: Full=HSP70 2; AltName: Full=Heat shock 70 kDa protein 2; AltName: Full=Heat shock protein 70 2,chaperone protein DnaK [Colwellia psychrerythraea 34H]	0.762	629	0.004	76	74	5
WP_041737171.1	MULTISPECIES: TAT-dependent nitrous-oxide reductase [Colwellia]	0.742	604	0.004	93	93	6
AAZ27785.1	nitrous-oxide reductase [Colwellia psychrerythraea 34H]	0.762	604	0.004	93	93	6
WP_011041800.1,sp|Q487Q9.1|CH60_COLP3,AAZ25956.1	MULTISPECIES: chaperonin GroEL [Colwellia],RecName: Full=Chaperonin GroEL; AltName: Full=60 kDa chaperonin; AltName: Full=Chaperonin-60; Short=Cpn60,chaperone protein GroEL [Colwellia psychrerythraea 34H]	0.863	573	0.004	83	83	7
AAZ26635.1,sp|Q48AW0.1|ATPB_COLP3,WP_011040937.1	ATP synthase F1, beta subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase subunit beta; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,MULTISPECIES: F0F1 ATP synthase subunit beta [Colwellia]	0.939	527	0.005	60	60	8
sp|Q487Z1.1|EFG1_COLP3,WP_011041724.1,AAZ25882.1	RecName: Full=Elongation factor G 1; Short=EF-G 1,elongation factor G [Colwellia psychrerythraea],translation elongation factor G [Colwellia psychrerythraea 34H]	0.776	507	0.003	84	84	9
AAZ26549.1,WP_011044510.1	TonB-dependent receptor [Colwellia psychrerythraea 34H],TonB-dependent receptor plug domain-containing protein [Colwellia psychrerythraea]	0.742	506	0.002	56	56	10
WP_011043026.1,CAR80208.1,CBX83666.1,sp|Q482T5.1|PNP_COLP3,AAZ24926.1	MULTISPECIES: polyribonucleotide nucleotidyltransferase [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H],RecName: Full=Polyribonucleotide nucleotidyltransferase; AltName: Full=Polynucleotide phosphorylase; Short=PNPase,polyribonucleotide nucleotidyltransferase [Colwellia psychrerythraea 34H]	0.752	502	0.003	80	80	11
AAZ26751.1,WP_011045521.1	putative aconitate hydratase [Colwellia psychrerythraea 34H],bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Colwellia psychrerythraea]	0.756	486	0.002	88	88	12
sp|Q48AW2.1|ATPA_COLP3,AAZ26667.1,WP_011040935.1	RecName: Full=ATP synthase subunit alpha; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha,ATP synthase F1, alpha subunit [Colwellia psychrerythraea 34H],MULTISPECIES: F0F1 ATP synthase subunit alpha [Colwellia]	0.811	448	0.004	62	60	13
AAZ27953.1,WP_011043690.1	isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H],NADP-dependent isocitrate dehydrogenase [Colwellia psychrerythraea]	0.797	441	0.003	72	69	14
sp|Q482T9.1|IF2_COLP3,WP_011043022.1,AAZ24660.1	RecName: Full=Translation initiation factor IF-2,MULTISPECIES: translation initiation factor IF-2 [Colwellia],translation initiation factor IF-2 [Colwellia psychrerythraea 34H]	0.729	441	0.002	91	91	15
sp|Q485G9.1|EFTS_COLP3,WP_011042390.1,AAZ28329.1	RecName: Full=Elongation factor Ts; Short=EF-Ts,MULTISPECIES: translation elongation factor Ts [Colwellia],translation elongation factor Ts [Colwellia psychrerythraea 34H]	0.904	427	0.006	54	54	16
WP_011043103.1,AAZ28321.1	ribonuclease E [Colwellia psychrerythraea],ribonuclease E [Colwellia psychrerythraea 34H]	0.759	398	0.002	79	79	17
AAZ26086.1,WP_011041895.1,sp|Q487G4.1|NAPA_COLP3	periplasmic nitrate reductase, large subunit [Colwellia psychrerythraea 34H],nitrate reductase catalytic subunit NapA [Colwellia psychrerythraea],RecName: Full=Periplasmic nitrate reductase; Flags: Precursor	0.799	393	0.002	82	82	18
WP_011045243.1,AAZ25753.1,sp|Q47VL0.1|MDH_COLP3	MULTISPECIES: malate dehydrogenase [Colwellia],malate dehydrogenase [Colwellia psychrerythraea 34H],RecName: Full=Malate dehydrogenase	1.000	385	0.005	35	35	19
AAZ27305.1,WP_011042113.1,sp|Q486J6.1|GCSP1_COLP3	glycine dehydrogenase [Colwellia psychrerythraea 34H],aminomethyl-transferring glycine dehydrogenase [Colwellia psychrerythraea],RecName: Full=Glycine dehydrogenase (decarboxylating) 1; AltName: Full=Glycine cleavage system P-protein 1; AltName: Full=Glycine decarboxylase 1; AltName: Full=Glycine dehydrogenase (aminomethyl-transferring) 1	0.645	381	0.002	76	73	20
gi|39794653|gb|AAH63697.1|	(CONTAMINANT) Keratin 1 [Homo sapiens]	0.696	376	0.002	65	2	21
AAZ25602.1,WP_011044951.1	nitrite reductase [Colwellia psychrerythraea 34H],cytochrome D1 domain-containing protein [Colwellia psychrerythraea]	0.755	372	0.003	55	55	22
AAZ27350.1,WP_011041456.1,CAY34444.1	GTP-binding protein TypA [Colwellia psychrerythraea 34H],translational GTPase TypA [Colwellia psychrerythraea],unnamed protein product [Colwellia psychrerythraea 34H]	0.792	368	0.003	61	61	23
